Ses01F_impro01_F000,EXCUSE ME,EXCUSE,EXCUSE ME OH,EXCUSE ME AND,OH EXCUSE ME,BUT EXCUSE ME,EXCUSE ME SIR,EXCUSE ME BUT,EXCUSE ME NOW,AND EXCUSE ME
Ses01F_impro02_F003,I GUESS YOU KNOW EVERYBODY HAS TO MAKE SACRIFICES,I GUESS YOU KNOW EVERYBODY HAS TO MAKE THE SACRIFICES,I GUESS YOU KNOW EVERYBODY HAS TO MAKE THAT SACRIFICES,I GUESS YOU KNOW EVERYBODY HAS TO MAKE THEIR SACRIFICES,BECAUSE YOU KNOW EVERYBODY HAS TO MAKE SACRIFICES,I GUESS YOU KNOW EVERYBODY HAS TO MAKE SUCH SACRIFICES,I GUESS YOU KNOW EVERYBODY HAS TO MAKE ITS SACRIFICES,THE GUESTS YOU KNOW EVERYBODY HAS TO MAKE SACRIFICES,I GUESS YOU KNOW EVERYBODY HAS TO MAKE UP SACRIFICES,I GUESS YOU KNOW EVERYBODY HAS TO MAKE THAT SACRIFICE
Ses01F_impro02_F004,THOSE PEOPLE THAT HAVE GIVEN MORE THOUGH YOU KNOW,THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH YOU KNOW,IT'S PEOPLE THAT HAVE GIVEN MORE THOUGH YOU KNOW,BUT THOSE PEOPLE THAT HAVE GIVEN MORE THOUGH YOU KNOW,THERE'S PEOPLE THAT HAVE GIVEN MORE THERE YOU KNOW,THERE'S PEOPLE THAT HAVE GIVEN MORE THAN YOU KNOW,THERE'S PEOPLE THAT'VE GIVEN MORE THOUGH YOU KNOW,BUT THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH YOU KNOW,IT'S PEOPLE THAT HAVE GIVEN MORE THAN YOU KNOW,IT'S PEOPLE THAT'VE GIVEN MORE THOUGH YOU KNOW
Ses01F_impro02_F005,I KNOW,I NO,I KNOW IT,I KNEW,I KNOW YOU,I DO,I MEAN,I KNOW HIM,I WILL,I KNOW THAT
Ses01F_impro02_F006,THERE'S BABIES OVER THERE THOUGH THEY NEED MOTHERS,THERE'S BABIES OVER THERE THOUGH MANY MOTHERS,THERE'S BABIES OVER THERE THOUGH ONLY MOTHERS,THERE'S BABIES OVER THERE THOUGH PLENTY MOTHERS,THERE'S BABIES OVER THERE THOUGH ANY MOTHERS,THERE'S BABIES OVER THERE THOUGH THREE MOTHERS,THERE'S BABIES OVER THERE THOUGH THAT NEED MOTHERS,THERE'S BABIES OVER THERE THOUGH AND MOTHERS,THERE'S BABIES OVER THERE THOUGH THEY ARE MOTHERS,THERE'S BABIES OVER THERE THOUGH MAYBE MOTHERS
Ses01F_impro02_F008,SKEY NO KICKIN MYSELF,SKE HE NO KICKIN MYSELF,SKE E NO KICKIN MYSELF,SKEETER NO KICKIN MYSELF,SKEET YOU NO KICKIN MYSELF,SKEET I'M KICKIN MYSELF,SKKEE NO KICKIN MYSELF,SKEEING NO KICKIN MYSELF,HUSKEY NO KICKIN MYSELF,SKEE E NO KICKIN MYSELF
Ses01F_impro02_F010,THINGS JUST ARE WHAT THEY SEEM,THINGS JUST WHAT THEY SEEM,THINGS JUST ART THEY SEEM,THINGS JUST ARE AS THEY SEEM,THINGS JUST START THEY SEEM,THINGS JUST ARE THEY SEEM,THINGS JUST EARTH THEY SEEM,THINGS JUST OUT THEY SEEM,THAT'S JUST WHAT THEY SEEM,THINGS JUST SAY WHAT THEY SEEM
Ses01F_impro02_F012,IT'S NOT ME THEN WHO,IF NOT ME THEN WHO,IT'S NOT ME THEN,IT'S NOT ME,IT'S NOT ME THEN HE,HE'S NOT ME THEN WHO,IT IS NOT ME THEN WHO,IT'S NOT ME BUT WHO,IT'S NOT ME THEN YOU,IF IT'S NOT ME THEN WHO
Ses01F_impro02_F013,YOU'LL NEED YOUR SLEEP EVERYTHING EH,YOU'LL HAVE TO SAVE EVERYTHING EH,YOU'LL MAKE YOUR ESCAPE EVERYTHING EH,YOU'LL GET YOUR SHAPE EVERYTHING EH,YOU'LL DO YOUR SHAPE EVERYTHING EH,YOU'LL BE YOUR SHAPE EVERYTHING EH,YOU'LL MAKE YOUR SHAPE EVERYTHING EH,YOU'LL HAVE YOUR SHAPE EVERYTHING EH,YOU'LL NEED YOUR SHAPE EVERYTHING EH,YOU'LL SEE YOUR SHAPE EVERYTHING EH
Ses01F_impro02_F014,MAYBE YOU CAN SEND IT TO ME LIKE STREAM IT HERE,MAYBE YOU CAN SEND IT TO ME LIKE STREAM IT YES,MAYBE YOU CAN SEND IT TO ME LIKE STREAM IT,MAYBE YOU CAN SEND IT TO ME LIKE STEAM IT YES,MAYBE YOU CAN SEND IT TO ME LIKE STEAM IT HERE,MAYBE YOU CAN SEND IT TO ME LIKE STREAM IT YET,MAYBE YOU CAN SEND IT TO ME LIKE STREAM IT YEAH,MAYBE YOU CAN SEND IT TO ME LIKE STREAM IT YOU,MAYBE YOU CAN SEND IT TO ME LIKE STREAM IT IS,MAYBE YOU CAN SEND IT TO ME LIKE STRING IT YET
Ses01F_impro02_F015,BUT MATTER YES,THAT MATTER YES,BUT NOT YET,BUT MATTER HERE,BUT NOT YET YES,BUT NOT A YES,BUT MATTER YEA,BUT NEITHER YES,BUT NOT HERE,BUT NOT IT YES
Ses01F_impro02_F016,HAVE FINE SITTERS,HAVE FINE SETTERS,HAVE FINE SHUTTERS,I HAVE FINE SITTERS,HAVE FIVE CENTS,I HAVE FINE SETTERS,HAVE TO FIND SITTERS,YOU HAVE FINE SITTERS,HAVE FINE LITTERS,HAVE FINE CENTS
Ses01F_impro02_F017,WE'VE GOT FRIENDS IT'S WHY WE EXCLAIMED IT'S WHY WE MOVED HERE EH CAUSE THERE'S A DAY CAR DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE EXCLAIMED IT'S WHY WE MOVED HERE EH CAUSE THERE'S TO TAKE HER DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE EXCLAIMED IT'S WHY WE MOVED HERE EH CAUSE THERE'S A GATE HERE DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE EXCLAIMED IT'S WHY WE MOVED HERE EH BECAUSE THERE'S A GATE HERE DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE EXCLAIMED IT'S WHY WE MOVED HERE EH CAUSE THERE'S A DATE HERE DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE EXCLAIMED IT'S WHY WE MOVED HERE EH AS THERE'S A DATE HERE DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE EXPLAINED IT'S WHY WE MOVED HERE EH BECAUSE THERE'S A GATE HERE DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE EXCLAIMED IT'S WHY WE MOVED HERE EH CAUSE THERE'S A DAY HERE DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE IT'S WHY WE IT'S WHY WE MOVED HERE EH CAUSE THERE'S TO TAKE HER DOWN THE STREET,WE'VE GOT FRIENDS IT'S WHY WE IT'S WHY WE IT'S WHY WE MOVED HERE AH AS THERE'S A DAY HERE DOWN THE STREET
Ses01F_impro02_F018,AND YOUR MOTHER'S CLOSE BY,YOUR MOTHER'S CLOSE BY,AND YOUR MOTHER'S CLOSE,AND YOUR MOTHERS CLOSE BY,AND HER MOTHER'S CLOSE BY,AND YOUR FATHER'S CLOSE BY,AND MY MOTHER'S CLOSE BY,AND YOU MOTHER'S CLOSE BY,AN YOUR MOTHER'S CLOSE BY,AND HIS MOTHER'S CLOSE BY
Ses01F_impro02_F019,I'LL SEND YOU OUT THE LETTERS,I'LL SEND YOU OUT TO LETTERS,I'LL SEND YOU ALL THE LETTERS,I'LL SEND YOU UP THE LETTERS,I'LL SEND YOU THE LETTERS,I'LL SEND YOU BACK THE LETTERS,I'LL SEND YOU ON THE LETTERS,I'LL SEND YOU OFF TO LETTERS,I'LL SEND YOU UP TO LETTERS,I'LL SEND YOU LOTS OF LETTERS
Ses01F_impro02_F020,I WANT LOTS AND LOTS MAMMA'S PICTURES,AND I WAS LOST IN LATTIMORE'S PICTURES,AND I WANT LOST IN LATTIMORE'S PICTURES,AND I WENT LOST IN LATTIMORE'S PICTURES,AND I WANT LOTS AND LOTS MOTHER'S PICTURES,AND I WANT LOTS AND LOTS OF MAMMA'S PICTURES,I WANT LOTS AND LOTS OF MARK'S PICTURES,AND I WANT LOTS AND LOTS MAMMA'S PICTURES,AND I WANT LOTS AND LOTS OF MARK'S PICTURES,AND I WANT LOTS AND LOTS OF MOTHER'S PICTURES
Ses01F_impro02_M001,UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN A WAY YOU HAVE TO GO BACK,UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN THE WAY YOU HAVE TO GO BACK,UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN A WAY I HAVE TO GO BACK,UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN THAT WAY YOU HAVE TO GO BACK,I UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN A WAY YOU HAVE TO GO BACK,UNDERSTAND YOU'VE ALREADY DONE SO MUCH DON'T YOU HAVE TO GO BACK,UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN WHAT YOU HAVE TO GO BACK,I UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN THE WAY YOU HAVE TO GO BACK,UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN OUR WAY YOU HAVE TO GO BACK,UNDERSTAND YOU'VE ALREADY DONE SO MUCH IN IT WHY YOU HAVE TO GO BACK
Ses01F_impro02_M005,HOW ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I KNOW NOT EVEN THAT,NOR ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I KNOW NOT EVEN THAT,HOW ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I'M NOT AFRAID,HOW ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I'M NOT RIGHT,NOR ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I'M NOT AFRAID,HOW ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I'VE NOT HEARD THAT,HOW ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I'VE NOT HEARD IT,NOR ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I'VE NOT HEARD THAT,NOR ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I'VE NOT HEARD IT,WHO ARE YOU TO BE O KING WITH US ON THE WIRE AND NOD I'VE NOT HEARD THAT
Ses01F_impro02_M009,I SHALL HAVE TO BE YOU,I CERTAINLY MIGHT HAVE TO BE YOU,I FANCY IT MIGHT HAVE TO BE YOU,I DON'T SEE WHY NOT BE YOU,I DON'T SEE WHY IT MUST BE YOU,I THINK I MIGHT HAVE TO BE YOU,I FANCIED I MIGHT HAVE TO BE YOU,I DON'T SEE WHY THAT BE YOU,I DON'T SEE WHY IT SHOULD BE YOU,I DON'T SEE WHY IT HAVE TO BE YOU
Ses01F_impro02_M010,WHAT CAN I DO OH,WHAT MAY I DO OH,WHAT WOULD I DO OH,WHAT MAY I DO,WHAT MAY I DO NOW,WHAT WOULD I DO NOW,WHAT MAY I DO AH,WHAT WILL I DO OH,WHAT CAN I DO NOW,WHAT CAN I DO AH
Ses01F_impro02_M011,YOU,N,,NOW,YES,U,H,UM,NO,HM
Ses01F_impro02_M012,DON'T YOU GUESS I'VE GOT ACCESS TO COMPUTERS OVER THERE NOW,DON'T YOU GUESS I'VE A ACCESS TO COMPUTERS OVER THERE NOW,DON'T YOU GUESS THEY'VE GOT ACCESS TO COMPUTERS OVER THERE NOW,DON'T YOU GUESS I'VE GOT ACCESS TO COMPUTERS YOU KNOW,DON'T YOU GUESS I'VE GOT ACCESS TO COMPUTERS EVER YOU KNOW,DON'T YOU GUESS I'VE A ACCESS TO COMPUTERS EVER YOU KNOW,DON'T YOU GUESS THEY'VE A ACCESS TO COMPUTERS OVER THERE NOW,DON'T YOU GUESS I'VE GOT ACCESS TO COMPUTERS OVER THERE YOU KNOW,DON'T YOU GUESS I'VE GOT ACCESS TO COMPUTERS OVER THERE KNOW,DON'T YOU GUESS I'VE GOT ACCESS TO COMPUTERS OVER THERE
Ses01F_impro02_M013,I JUST THOUGHT I HUNGRY TO DO WITHOUT YOU,I JUST THOUGHT I WANTED TO DO WITHOUT YOU,I JUST KNOW I HUNGRY TO DO WITHOUT YOU,I JUST KNOW HOW HUNGRY TO DO WITHOUT YOU,I JUST THOUGHT I HUNGER TO DO WITHOUT YOU,I JUST THOUGHT I WANTED TO DO IT WITHOUT YOU,I JUST KNOW I HUNGER TO DO WITHOUT YOU,I JUST THOUGHT I HUNGRY TO DO IT WITHOUT YOU,I JUST THOUGHT I HUNGRY AND DO WITHOUT YOU,I JUST WANT A HUNGRY TO DO WITHOUT YOU
Ses01F_impro02_M014,I THINK I CAN'T RAISE A BABY BY MYSELF I DON'T,I SAY I CAN'T RAISE A BABY BY MYSELF I DON'T,BUT I CAN'T RAISE A BABY BY MYSELF I DON'T,I I I CAN'T RAISE A BABY BY MYSELF I DON'T,IKE I CAN'T RAISE A BABY BY MYSELF I DON'T,I KNOW I CAN'T RAISE A BABY BY MYSELF I DON'T,I OH I CAN'T RAISE A BABY BY MYSELF I DON'T,I HATE I CAN'T RAISE A BABY BY MYSELF I DON'T,I SUPPOSE I CAN'T RAISE A BABY BY MYSELF I DON'T,I SAY I CAN'T RAISE A BABY BY MYSELF I WON'T
Ses01F_impro02_M015,AND,AND A,AND I,AND OH,AND NOW,AND ON,AND YOU,AND OF,AND THE,AND UP
Ses01F_impro03_F000,WELL THERE'S NOTHING THERE,WELL THERE'S THE BOTTOM THERE,WELL THEY'VE FORGOTTEN THAT,WELL THERE'S SOMETHING THERE,WELL THERE'S THE DOCTOR THERE,WELL THERE'S THE DOCTOR NOW,WELL THEY'VE GOT HIM THERE,WELL THERE'S THE DOCTOR,WELL THEY'VE GOT EM THERE,WELL THEY'VE FORGOTTEN THERE
Ses01F_impro03_F001,AN I GOT MARRIED,AND I GOT MARRIED,AN AH I GOT MARRIED,AN A I GOT MARRIED,AND AH I GOT MARRIED,AND I I GOT MARRIED,AN I I GOT MARRIED,AN I GET MARRIED,AN OH I GOT MARRIED,AN AFTER I GOT MARRIED
Ses01F_impro03_F002,JULIA IN THE OLD TOWN PART,JOSIAH IN THE OLD TOWN PART,JULIET IN THE OLD TOWN PART,OH YES IN THE OLD TOWN PART,JOSIAH IN THE OLD TOWN,JOSIAH AND THE OLD TOWN PART,JOSIAH IN THE OLD TIME PART,JOSIAH IN THE OLD TOWN PARK,JONAH IN THE OLD TOWN PART,JOSIAH IN THE OLD TOWN PARTY
Ses01F_impro03_F004,I GUESS IT'S VERY ROMANTIC,OH YES IT'S VERY ROMANTIC,I YES IT'S VERY ROMANTIC,YES IT'S VERY ROMANTIC,AH YES IT'S VERY ROMANTIC,I I GUESS IT'S VERY ROMANTIC,OH I GUESS IT'S VERY ROMANTIC,I THINK IT'S VERY ROMANTIC,I GUESS IT'S VERY ROMANTIC TOO,I GUESS IT'S VERY ROMANTIC AND
Ses01F_impro03_F005,IT WAS THE ATHISLAMA MACHINE,IT WAS THE ATTHISLAMA MACHINE,IT WAS THE ATHISLAMA CHAIN,IT WAS ATTHIS LAMARTINE,IT WAS ATHOS LAMARTINE,IT WAS THE ATHISLAMA TREE,IT WAS THE ATTHIS LAMARTINE,IT WAS THE APIS LAMARTINE,IT WAS THE ATHISLAMATINE,IT WAS THE ATTHISLAMATINE
Ses01F_impro03_F006,HA HA HE WON'T BEGGING AND YOU AND HE REALIZE IT'S THE ONLY THING THAT WOULD MAKE IT BETTER WITH ME AS HIS BRIDE,HA HA HE WON'T BEGGING AND YOU AND HE REALIZE THAT THE ONLY THING THAT WOULD MAKE IT BETTER WAS ME AS HIS BRIDE,HA HA HE WON'T BEGGING AND YOU AND HE REALIZE IT THE ONLY THING THAT WOULD MAKE IT BETTER WAS ME AS HIS BRIDE,HA HA HE WON'T BEGGING AND YOU AND HE REALIZED THAT THE ONLY THING THAT WOULD MAKE IT BETTER WAS ME AS HIS BRIDE,HA HA HE WON'T BEGGING AND YOU AND HE REALIZED IT THE ONLY THING THAT WOULD MAKE IT BETTER WAS ME AS HIS BRIDE,HA HA HE WON'T BEGGING AND HE AND HE REALIZE IT'S THE ONLY THING THAT WOULD MAKE IT BETTER WITH ME AS HIS BRIDE,HA HA HE WON'T BEGGING AND YOU AND HE REALIZE IT'S THE ONLY THING THAT WOULD MAKE IT BETTER AS ME AS HIS BRIDE,HA HA YOU WON'T BEGGING AND YOU AND HE REALIZE IT'S THE ONLY THING THAT WOULD MAKE IT BETTER WITH ME AS HIS BRIDE,HA HA HA HE WON'T BEGGING AND YOU AND HE REALIZE IT'S THE ONLY THING THAT WOULD MAKE IT BETTER WITH ME AS HIS BRIDE,HA HA HE WON'T BEGGING AND YOU AND HE REALIZE IT'S THE ONLY THING THAT WOULD MAKE IT BETTER TO ME AS HIS BRIDE
Ses01F_impro03_F008,YES WELL YOU'RE NOT KISSES LEAVING THE NEXT DAY,YEAH WELL YOU'RE NOT KISSES LEAVING THE NEXT DAY,YEAH WELL YOU'RE NOT KISSING THE NEXT DAY,YEAH WELL YOU'RE NOT KISSING ME THE NEXT DAY,YEAH WELL YOU'RE NOT KISSING ME NEXT DAY,YEAH WHY YOU'RE NOT KISSES LEAVING THE NEXT DAY,YEAH WELL YOU'RE NOT KISSING'S LEAVING THE NEXT DAY,YEAH WELL YOU'RE NOT KISSING HIS LEAVING THE NEXT DAY,YEAH WELL YOU'RE NOT KISSY'S LEAVING THE NEXT DAY,YES WELL YOU'RE NOT KISSING'S LEAVING THE NEXT DAY
Ses01F_impro03_F009,BUT WE'RE GOING TO HAVE A HONEYMOON CRUISE,THEY WERE GOING TO HAVE A HONEYMOON CRUISE,BUT WE ARE GOING TO HAVE A HONEYMOON CRUISE,THEY'RE GOING TO HAVE A HONEYMOON CRUISE,SO WE'RE GOING TO HAVE A HONEYMOON CRUISE,THEY ARE GOING TO HAVE A HONEYMOON CRUISE,WE'RE GOING TO HAVE A HONEYMOON CRUISE,YOU'RE GOING TO HAVE A HONEYMOON CRUISE,BOTH WERE GOING TO HAVE A HONEYMOON CRUISE,SO WE ARE GOING TO HAVE A HONEYMOON CRUISE
Ses01F_impro03_F010,OH I ONLY THOUGHT ABOUT THAT,OH I NEVER THOUGHT ABOUT THAT,OH I THOUGHT ABOUT THAT,OH I HAD NEVER THOUGHT ABOUT THAT,OH I EVEN THOUGHT ABOUT THAT,OH OH I ONLY THOUGHT ABOUT THAT,OH OH I NEVER THOUGHT ABOUT THAT,OH I HAVE NEVER THOUGHT ABOUT THAT,OH I KNEW AND THOUGHT ABOUT THAT,OH I KNEW I THOUGHT ABOUT THAT
Ses01F_impro03_F012,ENTIRELY THE,ENTIRELY THAT,ENTIRELY THERE,ENTIRELY SIR,ENTIRELY,ENTIRELY DONE,ENTIRELY THOUGH,ENTIRELY THEN,ENTIRELY ENOUGH,ENTIRELY WELL
Ses01F_impro03_F013,I GUESS I DON'T CALL HIM AN INFERNAL HUSBAND HA HA HA,I GUESS I DON'T CALL HIM AN INFERNAL HUSBAND HA HA,I GUESS SO I GUESS I'LL HAVE AN INTEREST IN THAT HUSBAND HA HA HA,I GUESS SO I GUESS I'LL HAVE AN INTEREST IN THAT HUSBAND HA HA,I GUESS SO I GUESS I'LL HAVE AN INTEREST IN HER HUSBAND HA HA HA,I GUESS SO I GUESS I'LL HAVE AN INTEREST IN HER HUSBAND HA HA,I GUESS I DON'T CALL HIM AN INFERNAL HUSBAND HA HA HA HA,I GUESS SO I GUESS I'LL HAVE AN INTEREST IN THAT HUSBAND HA HA HA HA,I GUESS SO I GUESS I'LL HAVE AN INTEREST IN HER HUSBAND HA HA HA HA,I GUESS I DON'T CALL HIM AN INSURRECT HUSBAND HA HA
Ses01F_impro03_F015,HE ASKED SO MADAM HE'S CALLING ME NOW,HE ASKED SO WAIT A MINUTE HE'S CALLING ME NOW,HE ASKED SO WAIT A MINUTE HE IS CALLING ME NOW,HE ASKED SO WAIT A MOMENT HE IS CALLING ME NOW,HE ASKED SO WHAT IS IT HE IS CALLING ME NOW,HE ASKED SO LISTEN TO THIS HE IS CALLING ME NOW,HE ASKED SO WITH THAT HE'S CALLING ME NOW,HE ASKED SO WAIT A MOMENT HE'S CALLING ME NOW,HE ASKED SO WAIT A MINUTE HE WAS CALLING ME NOW,HE ASKED SO WELL THEN HE'S CALLING ME NOW
Ses01F_impro03_F016,BUT LET'S GIVE TIME ENOUGH,BUT LET'S GIVE TO HIM,BUT LET'S GIVE TO THEM,BUT LET'S GIVE TO HER,BUT LET'S GIVE THANKS ENOUGH,BUT LET'S GIVE TO YOU,BUT LET'S GET TO HAVE ENOUGH,BUT LET'S GIVE TO HAVE ENOUGH,BUT LET'S GIVE CHANCES ENOUGH,BUT LET'S GIVE TO HIM ENOUGH
